Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Аккерманский уезд > Тузлы [45.8642694,30.0893667]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Аккерманский уезд > Шаба [46.12694,30.385]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Белецкий уезд > Бельцы [47.76167,27.92889]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Белецкий уезд > Скуляны [47.3283333333,27.6238888889]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Белецкий уезд > Фолешты [47.57361,27.70917]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Бендерский уезд > Бендеры [46.83056,29.47111]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Бендерский уезд > Гура-Голбина [46.6980555556,28.7058333333]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Бендерский уезд > Манзырь [46.4675,29.35028]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Бендерский уезд > Новые Каушаны [46.64417,29.41389]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Бендерский уезд > Чилишлия [46.52,28.78417]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Измаильский уезд > Болград [45.66667,28.53333]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Измаильский уезд > Вилково [45.39917,29.59361]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Измаильский уезд > Измаил [45.35,28.83333]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Измаильский уезд > Кагул [45.9075,28.19444]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Измаильский уезд > Килия [45.4675,29.23778]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Измаильский уезд > Леово [46.47861,28.25528]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Измаильский уезд > Рени [45.45,28.28333]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Кишинёвский уезд > Ганчешты [46.82583,28.59361]
